symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SZSE.399303,1d,6086.874,6158.79,6061.347,6158.79,20781146368,188033282048.0,5982.182,0,2019-07-01 00:00:00+08:00,2019-07-01 00:00:00+08:00
SHSE.000852,1d,5418.212,5481.408,5392.445,5481.408,14921434368,139046133760.0,5321.433,0,2019-07-01 00:00:00+08:00,2019-07-01 00:00:00+08:00
SHSE.000985,1d,4323.348,4367.708,4306.867,4367.708,55985254143,592385113331.0,4244.083,0,2019-07-01 00:00:00+08:00,2019-07-01 00:00:00+08:00
SHSE.000852,1d,5482.443,5501.117,5462.728,5483.515,13305282048,126589280256.0,5481.408,0,2019-07-02 00:00:00+08:00,2019-07-02 00:00:00+08:00
SHSE.000300,1d,3931.048,3942.425,3918.937,3937.169,13186349568,173997043712.0,3935.811,0,2019-07-02 00:00:00+08:00,2019-07-02 00:00:00+08:00
SHSE.000985,1d,4363.805,4373.225,4350.667,4366.224,48882537105,514362996570.0,4367.708,0,2019-07-02 00:00:00+08:00,2019-07-02 00:00:00+08:00
SZSE.399303,1d,6160.106,6176.493,6135.096,6155.923,19363192064,180780199936.0,6158.79,0,2019-07-02 00:00:00+08:00,2019-07-02 00:00:00+08:00
SHSE.000905,1d,5092.841,5102.409,5066.25,5084.41,9708063744,91618107392.0,5100.261,0,2019-07-02 00:00:00+08:00,2019-07-02 00:00:00+08:00
SHSE.000985,1d,4354.914,4354.992,4304.746,4320.957,42843651450,457963624862.0,4366.224,0,2019-07-03 00:00:00+08:00,2019-07-03 00:00:00+08:00
SHSE.000300,1d,3927.436,3927.436,3878.84,3893.534,11199260416,163145732096.0,3937.169,0,2019-07-03 00:00:00+08:00,2019-07-03 00:00:00+08:00
SHSE.000905,1d,5074.709,5074.709,5021.895,5040.722,8535858944,79210213376.0,5084.41,0,2019-07-03 00:00:00+08:00,2019-07-03 00:00:00+08:00
SHSE.000852,1d,5465.945,5465.945,5408.578,5428.514,12129543424,112247590912.0,5483.515,0,2019-07-03 00:00:00+08:00,2019-07-03 00:00:00+08:00
SZSE.399303,1d,6134.939,6135.019,6071.462,6094.18,17234969856,154706182144.0,6155.923,0,2019-07-03 00:00:00+08:00,2019-07-03 00:00:00+08:00
SHSE.000905,1d,5046.883,5067.997,5002.332,5025.02,8014718976,72016474112.0,5040.722,0,2019-07-04 00:00:00+08:00,2019-07-04 00:00:00+08:00
SHSE.000985,1d,4324.299,4337.233,4281.429,4300.961,39686066826,414173739792.0,4320.957,0,2019-07-04 00:00:00+08:00,2019-07-04 00:00:00+08:00
SZSE.399303,1d,6101.25,6118.164,6045.528,6072.962,16167282176,144475557888.0,6094.18,0,2019-07-04 00:00:00+08:00,2019-07-04 00:00:00+08:00
SHSE.000852,1d,5435.483,5450.289,5381.046,5404.383,11408144640,104799735808.0,5428.514,0,2019-07-04 00:00:00+08:00,2019-07-04 00:00:00+08:00
SHSE.000300,1d,3895.197,3906.889,3854.693,3873.101,9934225664,142669254656.0,3893.534,0,2019-07-04 00:00:00+08:00,2019-07-04 00:00:00+08:00
SHSE.000985,1d,4302.167,4327.934,4284.233,4319.952,32522562574,351211313291.0,4300.961,0,2019-07-05 00:00:00+08:00,2019-07-05 00:00:00+08:00
SHSE.000300,1d,3875.373,3900.309,3857.928,3893.202,7400652800,116236521472.0,3873.101,0,2019-07-05 00:00:00+08:00,2019-07-05 00:00:00+08:00
SHSE.000852,1d,5404.707,5433.693,5379.888,5424.25,9690498560,91252457472.0,5404.383,0,2019-07-05 00:00:00+08:00,2019-07-05 00:00:00+08:00
SZSE.399303,1d,6069.75,6103.548,6046.527,6092.921,13838086144,125307146240.0,6072.962,0,2019-07-05 00:00:00+08:00,2019-07-05 00:00:00+08:00
SHSE.000905,1d,5026.331,5055.014,5001.523,5042.659,6490414080,60552010240.0,5025.02,0,2019-07-05 00:00:00+08:00,2019-07-05 00:00:00+08:00
SHSE.000905,1d,5028.634,5028.634,4855.214,4870.78,9176607744,81431277568.0,5042.659,0,2019-07-08 00:00:00+08:00,2019-07-08 00:00:00+08:00
SZSE.399303,1d,6077.795,6077.795,5858.951,5879.409,17801857280,155611279360.0,6092.921,0,2019-07-08 00:00:00+08:00,2019-07-08 00:00:00+08:00
SHSE.000985,1d,4304.308,4304.378,4175.826,4198.238,44142396594,442347870083.0,4319.952,0,2019-07-08 00:00:00+08:00,2019-07-08 00:00:00+08:00
SHSE.000300,1d,3875.754,3875.754,3775.025,3802.789,10953908736,147198418944.0,3893.202,0,2019-07-08 00:00:00+08:00,2019-07-08 00:00:00+08:00
SHSE.000852,1d,5410.203,5410.203,5221.952,5244.266,12348714496,110352019456.0,5424.25,0,2019-07-08 00:00:00+08:00,2019-07-08 00:00:00+08:00
SHSE.000852,1d,5239.857,5270.459,5203.854,5260.343,9088317184,85680910336.0,5244.266,0,2019-07-09 00:00:00+08:00,2019-07-09 00:00:00+08:00
SHSE.000905,1d,4868.475,4892.558,4838.936,4881.623,6101251328,56755420928.0,4870.78,0,2019-07-09 00:00:00+08:00,2019-07-09 00:00:00+08:00
SHSE.000300,1d,3798.095,3811.099,3774.764,3793.129,7484273152,113147604992.0,3802.789,0,2019-07-09 00:00:00+08:00,2019-07-09 00:00:00+08:00
SHSE.000985,1d,4194.132,4209.025,4168.289,4198.807,31147669899,333997931282.0,4198.238,0,2019-07-09 00:00:00+08:00,2019-07-09 00:00:00+08:00
SZSE.399303,1d,5876.33,5913.97,5837.765,5904.538,13064560640,119874908160.0,5879.409,0,2019-07-09 00:00:00+08:00,2019-07-09 00:00:00+08:00
SHSE.000905,1d,4891.911,4896.041,4829.284,4843.864,6079519232,55261260800.0,4881.623,0,2019-07-10 00:00:00+08:00,2019-07-10 00:00:00+08:00
SHSE.000985,1d,4210.049,4212.878,4166.543,4180.304,30452340258,316015264681.0,4198.807,0,2019-07-10 00:00:00+08:00,2019-07-10 00:00:00+08:00
SHSE.000300,1d,3807.949,3810.396,3774.23,3786.739,7283394816,101355479040.0,3793.129,0,2019-07-10 00:00:00+08:00,2019-07-10 00:00:00+08:00
SHSE.000852,1d,5267.272,5271.241,5196.817,5214.644,8698666496,80476356608.0,5260.343,0,2019-07-10 00:00:00+08:00,2019-07-10 00:00:00+08:00
SZSE.399303,1d,5908.329,5917.459,5839.866,5862.322,12958795776,118882729984.0,5904.538,0,2019-07-10 00:00:00+08:00,2019-07-10 00:00:00+08:00
SHSE.000985,1d,4199.973,4228.91,4163.151,4178.877,31354758427,332039724080.0,4180.304,0,2019-07-11 00:00:00+08:00,2019-07-11 00:00:00+08:00
SHSE.000300,1d,3806.185,3830.738,3774.413,3785.221,7531196416,113674616832.0,3786.739,0,2019-07-11 00:00:00+08:00,2019-07-11 00:00:00+08:00
SZSE.399303,1d,5881.558,5927.573,5828.9,5860.79,13075588608,117963718656.0,5862.322,0,2019-07-11 00:00:00+08:00,2019-07-11 00:00:00+08:00
SHSE.000852,1d,5236.656,5271.612,5180.956,5206.398,8882537472,81521541120.0,5214.644,0,2019-07-11 00:00:00+08:00,2019-07-11 00:00:00+08:00
SHSE.000905,1d,4867.682,4905.16,4821.551,4844.547,6262848512,56483156480.0,4843.864,0,2019-07-11 00:00:00+08:00,2019-07-11 00:00:00+08:00
SHSE.000985,1d,4178.658,4208.545,4161.521,4198.081,30239257090,313988897034.0,4178.877,0,2019-07-12 00:00:00+08:00,2019-07-12 00:00:00+08:00
SHSE.000905,1d,4848.222,4874.32,4820.663,4861.567,6147939840,54064544512.0,4844.547,0,2019-07-12 00:00:00+08:00,2019-07-12 00:00:00+08:00
SZSE.399303,1d,5864.642,5888.926,5823.252,5877.473,12468763904,112605204480.0,5860.79,0,2019-07-12 00:00:00+08:00,2019-07-12 00:00:00+08:00
SHSE.000852,1d,5209.295,5229.841,5173.052,5219.188,8487735296,77845991424.0,5206.398,0,2019-07-12 00:00:00+08:00,2019-07-12 00:00:00+08:00
SHSE.000300,1d,3783.073,3820.235,3774.522,3808.731,7546596608,107007922176.0,3785.221,0,2019-07-12 00:00:00+08:00,2019-07-12 00:00:00+08:00
SHSE.000905,1d,4850.89,4951.623,4787.906,4925.324,8459448064,75865112576.0,4861.567,0,2019-07-15 00:00:00+08:00,2019-07-15 00:00:00+08:00
SHSE.000985,1d,4183.552,4247.335,4132.318,4228.492,38626814922,402894764886.0,4198.081,0,2019-07-15 00:00:00+08:00,2019-07-15 00:00:00+08:00
SZSE.399303,1d,5860.87,5947.043,5789.128,5934.013,14835654144,133088849920.0,5877.473,0,2019-07-15 00:00:00+08:00,2019-07-15 00:00:00+08:00
SHSE.000852,1d,5203.576,5289.011,5140.804,5273.814,10328513536,96427012096.0,5219.188,0,2019-07-15 00:00:00+08:00,2019-07-15 00:00:00+08:00
SHSE.000300,1d,3792.64,3844.868,3745.854,3824.187,10120522240,142493044736.0,3808.731,0,2019-07-15 00:00:00+08:00,2019-07-15 00:00:00+08:00
